N & Bounds (N>>1) & Interval (N>>1) & Bounds & Interval & Relative Interval\\ 
\hline 
1 & - & - & [0.0513, 4.7439] & 4.6926 & 4.6926\\ 
2 & - & - & [0.3554, 6.2958] & 5.9404 & 2.9702\\ 
3 & - & - & [0.8177, 7.7537] & 6.9360 & 2.3120\\ 
4 & - & - & [1.3663, 9.1535] & 7.7872 & 1.9468\\ 
5 & - & - & [1.9701, 10.5130] & 8.5429 & 1.7086\\ 
6 & - & - & [2.6130, 11.8424] & 9.2294 & 1.5382\\ 
7 & - & - & [3.2853, 13.1481] & 9.8628 & 1.4090\\ 
8 & - & - & [3.9808, 14.4346] & 10.4538 & 1.3067\\ 
9 & - & - & [4.6952, 15.7052] & 11.0100 & 1.2233\\ 
10 & - & - & [5.4254, 16.9622] & 11.5368 & 1.1537\\ 
20 & - & - & [13.2547, 29.0620] & 15.8074 & 0.7904\\ 
30 & [20.9908, 39.0092] & 18.0185 & [21.5940, 40.6905] & 19.0965 & 0.6366\\ 
40 & [29.5970, 50.4030] & 20.8059 & [30.1957, 52.0694] & 21.8736 & 0.5468\\ 
50 & [38.3691, 61.6309] & 23.2617 & [38.9647, 63.2871] & 24.3223 & 0.4864\\ 
60 & [47.2590, 72.7410] & 25.4820 & [47.8523, 74.3896] & 26.5373 & 0.4423\\ 
70 & [56.2382, 83.7618] & 27.5237 & [56.8297, 85.4046] & 28.5749 & 0.4082\\ 
80 & [65.2880, 94.7120] & 29.4240 & [65.8780, 96.3500] & 30.4720 & 0.3809\\ 
90 & [74.3955, 105.6045] & 31.2089 & [74.9844, 107.2385] & 32.2541 & 0.3584\\ 
100 & [83.5515, 116.4485] & 32.8971 & [84.1393, 118.0793] & 33.9400 & 0.3394\\ 
200 & [176.7383, 223.2617] & 46.5235 & [177.3205, 224.8744] & 47.5539 & 0.2378\\ 
300 & [271.5103, 328.4897] & 56.9794 & [272.0900, 330.0942] & 58.0042 & 0.1933\\ 
400 & [367.1029, 432.8971] & 65.7941 & [367.6812, 434.4968] & 66.8156 & 0.1670\\ 
500 & [463.2200, 536.7800] & 73.5601 & [463.7972, 538.3765] & 74.5793 & 0.1492\\ 
750 & [704.9538, 795.0462] & 90.0923 & [705.5295, 796.6375] & 91.1080 & 0.1215\\ 
1000 & [947.9852, 1052.0148] & 104.0297 & [948.5598, 1053.6031] & 105.0433 & 0.1050\\ 
